newsSource|publishDate|headlineText
The Daily Mail|2013 06 24|Transgender child, 6, wins civil rights case to use the girls bathroom at school
The Daily Mail|2013 06 27|Pre-op transsexual who admitted robbery and attacking the police sent to all-women jail... despite still being a MAN
The Daily Mail|2013 07 01|Wipe out! Real Housewife Marysol Patton and transgender model Lauren Foster get tossed around while paddleboarding
The Daily Mail|2013 07 04|California approves bill mandating K-12 transgender students be allowed to use the restroom of their choosing
The Daily Mail|2013 07 12|Transgender at six: Family embraces decision to let daughter live as boy
The Daily Mail|2013 08 07|Transgender TV personality B. Scott sues BET network for $2.5m claiming gender identity discrimination
The Daily Mail|2013 08 09|Ten ways to enjoy Sydney on a shoestring... (including 'Tranny Bingo' and free fireworks)
The Daily Mail|2013 09 19|Transgender widow whose firefighter husband died in blaze takes her fight for his benefits to the appeals court as she celebrates marriage to new partner
The Daily Mail|2013 09 24|'I could be fired because I'm transgender': Female theology professor risks job at Christian college and marriage after revealing male identity
The Daily Mail|2013 09 26|From sailor to Vogue model: New exhibition explores the extraordinary life of April Ashley, the UK's first transsexual
The Daily Mail|2013 09 27|The transgender six-year-old: Child who was born a boy is given a new identity after insisting her parents call her Lulu
The Daily Mail|2013 10 27|Government sets up problem-solving committee to help transgender people
The Daily Mail|2013 11 15|Warren Beatty and Annette Bening's transgender son Stephen appears in PSA calling for healthcare for trans community
The Daily Mail|2013 11 15|Female-to-male transgender student had high school yearbook photo rejected for wearing a suit
The Daily Mail|2013 12 02|Transsexual computer programmer enters Deal Or No Deal to fund surgery ahead of sex swap
The Daily Mail|2013 12 05|Bias incidents at Vassar were a hoax as one of the culprits was 'the transgender student leading the investigations into the offensive graffiti'
The Daily Mail|2013 12 17|Male transgender prisoner guilty of brutal murder is moved from women's jail 'because he kept having sex with female inmates' while waiting for sex-change op funded by UK taxpayer
The Daily Mail|2014 01 01|Drive to succeed: Bobbi Lancaster to be first transgender golfer to play in ladies professional tournament
The Daily Mail|2014 01 09|Boy, 4, found dead in Manhattan bathtub 'was burned and beaten by transgender babysitter for weeks after he was left by his dad'
The Daily Mail|2014 01 10|How 4-year-old boy ended up 'burned, starved and beaten to death by his jailed father's transgender girlfriend' - while his mother had no idea where he was
The Daily Mail|2014 01 19|Transgender jailbird demands another £15,000 of cosmetic surgery on the NHS... after £20,000 taxpayer-funded sex change behind bars
The Daily Mail|2014 01 30|'What's happening to me is not about sex - it's about identity': Meet the transgender stars behind Barneys' inspiring new campaign
The Daily Mail|2014 01 31|Ban on transgender fifth grader using girls' bathroom, violated human rights. court rules
The Daily Mail|2014 02 13|Confusion of girl, seven, who calls lesbian stepmother 'mum and dad' after she became a transgender male and grew a beard
The Daily Mail|2014 02 17|Italy's first transgender MP arrested in Sochi for carrying 'Gay is OK' rainbow flag
The Daily Mail|2014 03 07|Transgender woman sues CrossFit for not letting her compete in the women's division
The Daily Mail|2014 03 14|Transsexual star of the controversial new reality show This Is Liverpool leaves show after bust-up with fellow cast member
The Daily Mail|2014 03 19|Transgender woman, 62, blames her male persona for shooting dead 3 prostitutes in 1990
The Daily Mail|2014 04 01|'I correct God's mistakes': Meet South Korea's leading sex-change surgeon whose 11-hour operations create functioning private parts for transgender pop stars and Buddhist monks
The Daily Mail|2014 04 03|'I am so grateful to be a woman': Transgender model comes out for the first time during moving TED talk
The Daily Mail|2014 04 11|Transgender female Twitter engineer charged with raping her estranged wife
The Daily Mail|2014 04 13|Ellen Page wears a sharp suit and tie as she credits transgender actress Laverne Cox for giving her the courage to come out as a lesbian at GLAAD Awards
The Daily Mail|2014 04 14|Transgender student fighting to move from female to male dorms at Christian college after completing sexual transition
