newsSource|publishDate|headlineText
Buzzfeed|2015 05 27|This Transgender Model Just Graduated College And Got Signed To A Major Agency
Buzzfeed|2015 05 27|India Just Got Its First Transgender College Principal
Buzzfeed|2015 05 28|Transgender People Talk About Coming Out #TransStories
Buzzfeed|2015 06 2|Feds Give Private Employers Clear Guidelines For Transgender Staff Using Restrooms
Buzzfeed|2015 06 2|Huckabee On Transgender People: I Wish I Could've Said I Was Transgender In HS To Shower With The Girls
Buzzfeed|2015 06 3|Huckabee: Only The Media Cares About My Transgender Remark
Buzzfeed|2015 06 3|Man Charged With Attempted Murder Of Trans Woman In NYC Subway Attack
Buzzfeed|2015 06 4|Barnard, An All Women's College, Is The Latest To Accept Transgender Women
Buzzfeed|2015 06 4|Here's The First Transgender Model To Be The Face Of A Cosmetics Company
Buzzfeed|2015 06 8|"Huckabee: ""I Take Nothing Back,"" ""I'm Kinda Glad"" Transgender Shower Joke Was Posted Online"
Buzzfeed|2015 06 9|Transgender People Respond To Caitlyn Jenner
Buzzfeed|2015 06 10|The First Known Out Transgender Athlete Has Joined Men's Team USA
Buzzfeed|2015 06 11|Teen Sues School District In Potentially Key Federal Case For Transgender Restroom Rights
Buzzfeed|2015 06 11|This Transgender Actress Caused A Huge Internet Uproar After Dressing Up As Crucified Jesus In A Parade
Buzzfeed|2015 06 13|3 Ways To Tell The Story Of Transgender Women
Buzzfeed|2015 06 17|Cory Bernardi Possibly Just Compared Transgender People To A Cat Identifying As A Dog
Buzzfeed|2015 06 22|Transgender Teen Killed In Mississippi
Buzzfeed|2015 06 22|"This Trans Woman Was Denied Entry Into A Nightclub Because Of A ""No Cross-Dressing"" Policy"
Buzzfeed|2015 06 24|Trans Woman Interrupts Obama At Pride Reception, Calls For End To LGBT Immigrant Detention
Buzzfeed|2015 06 25|These Transgender Couples' Love Stories Will Give You All The Feels
Buzzfeed|2015 06 25|Out Transgender Airman, In Male Uniform, Attends White House Pride Reception
Buzzfeed|2015 06 27|Immigrant Activist Who Interrupted Obama Highlights Abuse Of Transgender Detainees
Buzzfeed|2015 06 28|Transgender Women Are Falling Through Cracks In Australia’s Homeless System
Buzzfeed|2015 06 29|Laverne Cox Becomes The First Trans Woman To Be Immortalized In Wax
Buzzfeed|2015 06 29|Transgender Women Can Now Be Housed In Women's Facilities Under New Immigration Rules
Buzzfeed|2015 06 30|Justice Dept. Backs Transgender Boy In Lawsuit Against School District
Buzzfeed|2015 06 30|Donors Give Girl Scouts Chapter That Stood Up For Transgender Girls $250,000
Buzzfeed|2015 07 15|Jazz Jennings And Her Mom Offer Wonderful Advice To Parents Raising Transgender Kids
Buzzfeed|2015 07 22|Transgender Woman Of Color Killed In Tampa, Florida
Buzzfeed|2015 07 23|Broad Federal LGBT Rights Bill Would Also Address Religious Freedom, Transgender Restroom Use
Buzzfeed|2015 07 23|Why Are Blood Banks Rejecting Transgender Women?
Buzzfeed|2015 07 24|Transgender Person Fatally Stabbed On Street In Fresno, California
Buzzfeed|2015 07 27|Judge Throws Out Key Argument In Transgender Student Restroom Case
Buzzfeed|2015 07 27|The House Of Commons Is Holding Its First Inquiry Into Transgender Equality
Buzzfeed|2015 08 9|Transgender Woman Of Color Is Killed In Detroit
Buzzfeed|2015 08 12|Jennifer McCreath Could Be The First Trans Person To Be On A Federal Ballot In Canada
Buzzfeed|2015 08 12|Transgender Person Of Color Killed In Dallas
Buzzfeed|2015 08 13|"Christie On Transgender Birth Certificate Bill: Certain Things ""Just Go Beyond The Pale"""
Buzzfeed|2015 08 16|The World's Most Senior Transgender Military Officer Destroys Columnist's Abuse And Jokes
Buzzfeed|2015 08 18|The White House Just Hired Its First Ever Out Transgender Official
Buzzfeed|2015 08 18|Three More Transgender Women Of Color Killed
Buzzfeed|2015 08 26|"Meet The Transgender ""Sistergirls"" Of The Tiwi Islands"
Buzzfeed|2015 08 27|25 Inspiring Photos That Show Transgender “Sistergirls” Of The Tiwi Islands In Their Natural Element
Buzzfeed|2015 08 29|A Transgender Man Was Married By The Kentucky Clerk Who Refuses To Perform Same-Sex Marriage
Buzzfeed|2015 09 2|Transgender Teens Get Emotional Speaking To Their Future Selves In This Powerful Video
Buzzfeed|2015 09 3|Court Suspends Deportation Of Transgender Immigrant, Citing Dangers In Mexico
Buzzfeed|2015 09 4|Transgender Student Will Appeal Judge’s Order Against Him In Restroom Case
Buzzfeed|2015 09 14|After Coming Out In Her Junior Year, This Transgender Teen Was Voted Homecoming Queen
Buzzfeed|2015 09 15|Texas Man Gets 10 Years Probation For Death Of Transgender Woman
Buzzfeed|2015 09 22|Transgender Woman Detained At Airport Slams Latest Claims From TSA
Buzzfeed|2015 09 25|Meet The Transgender Movement's Teen Idol
Buzzfeed|2015 09 29|Dieser Transgender-Teenie freut sich riesig, als die Hormontherapie beginnt
Buzzfeed|2015 09 30|Mira a esta adolescente transexual cuando se entera que puede comenzar su terapia hormonal
Buzzfeed|2015 10 1|Hate Crime Charges Dropped In Attack On Transgender Woman In Washington State
Buzzfeed|2015 10 2|Transgender People Are Making Their Needs Known To The Federal Government With #TransNeeds
Buzzfeed|2015 10 5|Watch This Mum Tell Her Transgender Daughter How Happy She Makes Her
Buzzfeed|2015 10 6|The Transgender Man Trapped In India By His Parents Is Finally Being Allowed To Return To The U.S.
Buzzfeed|2015 10 7|Man Charged With Murder Of Transgender Woman In Philadelphia
Buzzfeed|2015 10 8|EastEnders Has Cast The First Trans Man To Play A Trans Role In A UK Soap
Buzzfeed|2015 10 8|Congressional Dems Urge TSA To Change Screening Procedures For Transgender Passengers
Buzzfeed|2015 10 8|Malaysian Court Reverses Transgender Legal Victory
Buzzfeed|2015 10 8|Dieser Transgender-Mann hat 3 Jahre Selfies gemacht, um seine Veränderung zu zeigen
Buzzfeed|2015 10 8|"Fears For Transgender ""Sistergirls"" Locked Up In NT Prisons"
Buzzfeed|2015 10 8|This Transgender Woman Is A Finalist For Young Australian Of The Year
Buzzfeed|2015 10 12|Photos Of Community Mourning For Killed Filipina Trans Woman
Buzzfeed|2015 10 12|Meet A Transgender Homecoming Queen
Buzzfeed|2015 10 15|Watch This Transgender Teacher Comfort Her Gender-Nonconforming Student
Buzzfeed|2015 10 15|India Is Holding Its First Transgender Durga Puja
Buzzfeed|2015 10 16|Transgender Woman Shot Dead In Maryland Shopping Center
Buzzfeed|2015 10 21|Transgender Student Asks For New Judge In Restroom Case
Buzzfeed|2015 10 22|New York Governor Plans To Ban Transgender Discrimination
Buzzfeed|2015 10 26|This Transgender Woman Shared Photos Of Her Horrifying Attack On Facebook
Buzzfeed|2015 10 28|A Trans Woman Has To Repeatedly Come Out To Her Mom With Dementia And She Always Has The Same Response
