Breitbart|11 Jun 2020, 11:04 AM PDT|West Virginia Elects First Openly Transgender Official11 Jun 2020, 10:28 AM PDT
Breitbart|11 Jun 2020, 5:04 PM PDT|Activists Join Transgender Groups in Urging NCAA to Boycott Idaho over Bill to Protect Female Athletes11 Jun 2020, 4:25 PM PDT
Breitbart|12 Jun 2020, 3:46 PM PDT|Transgender: HHS Restores Biology to Sex Discrimination Rules12 Jun 2020, 3:09 PM PDT
Breitbart|14 Jun 2020, 6:10 PM PDT|Transgender: HUD Issues Rule to Protect Women in Homeless Shelters14 Jun 2020, 2:32 PM PDT
Breitbart|15 Jun 2020, 10:19 AM PDT|Supreme Court Says 1964 Law Bars Workplace Discrimination vs. Gay and Transgender People15 Jun 2020, 8:59 AM PDT
Breitbart|15 Jun 2020, 2:29 PM PDT|Thousands Dismiss Social Distancing in Brooklyn for Pro-Black Transgender Rally15 Jun 2020, 1:40 PM PDT
Breitbart|15 Jun 2020, 11:32 PM PDT|Franklin Graham: SCOTUS Transgender Ruling ‘Erodes Religious Freedoms Across this Country’15 Jun 2020, 9:04 PM PDT
Breitbart|16 Jun 2020, 9:09 AM PDT|WATCH: Bill De Blasio Defends Locking Playgrounds While Joining Black Lives Matter, Transgender Protests16 Jun 2020, 8:02 AM PDT
Breitbart|18 Jun 2020, 12:08 PM PDT|Congressional Democrats Blast DOE Transgender Ruling18 Jun 2020, 11:39 AM PDT
Breitbart|19 Jun 2020, 6:08 PM PDT|Sports: Justice Department Rejects SCOTUS Transgender Rule19 Jun 2020, 4:49 PM PDT
Breitbart|19 Jun 2020, 4:52 PM PDT|YouTube Censors Heritage Foundation Video Featuring Former Transgender, Claims It Violates ‘Hate Speech’ Policy19 Jun 2020, 3:38 PM PDT
Breitbart|20 Jun 2020, 10:22 AM PDT|Amazon Blocks Publisher from Advertising Book Questioning Transgender ‘Craze’ Among Girls21 Jun 2020, 7:08 AM PDT
Breitbart|28 Jun 2020, 9:44 AM PDT|Transgender: Social Media and School Promotion Linked to Rise in Teen Girls Gender Dysphoria28 Jun 2020, 8:51 AM PDT
Breitbart|2 Jul 2020, 9:51 AM PDT|Transgender Ideology Has ‘Corrosive Impact’ on Society, Claims Study2 Jul 2020, 9:12 AM PDT
Breitbart|2 Jul 2020, 2:59 PM PDT|Merriam-Webster Dictionary Updates Definition of Trans Woman: Woman ‘Identified as Male at Birth’2 Jul 2020, 1:49 PM PDT
